image,status,error,txt_path,translated,spoken_text,wav_path
(1).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(1).txt,True,"Di depan terlihat lorong kantor modern dengan pintu kaca besar dan lantai mengkilap. Ada orang berjalan di latar belakang. Lorong ini dinyalakan dengan lampu di atas kepala. Tidak ada bahaya secara langsung bagi tunanetra, tetapi mereka harus berhati-hati dari pintu kaca dan lantai.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194444.wav
(10).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(10).txt,True,"Di depan terlihat sebuah toko kecil dengan pintu biru dan counter di dalam. Ada berbagai barang yang dipajang, termasuk kotak dan tas. Toko ini terletak di depan bangunan dengan pohon hijau di latar belakang. Tanah di luar toko diaspal dengan ubin hitam. Tidak ada bahaya secara langsung untuk tunanetra, tetapi mereka harus berhati-hati dari tanah tidak rata dan potensi untuk permukaan licin.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194510.wav
(11).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(11).txt,True,"Di depan ini terlihat ruang makan modern, terbuka-udara dengan meja dan kursi. Lantai ditutupi dengan kecil, kerikil putih, dan ada tanaman di latar belakang. Area ini tampak bersih dan dijaga dengan baik. Tidak ada bahaya secara langsung bagi orang-tunanetra, karena ruang terlihat dengan jelas dan tabel yang berjarak terpisah.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194535.wav
(12).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(12).txt,True,"Di depan ini terlihat jalan beraspal dengan beberapa puing berserakan dan sebuah sepeda motor diparkir di sisi kanan. Tidak ada bahaya secara langsung untuk tunanetra, tetapi puing-puing tersebar bisa menimbulkan bahaya tersandung.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194558.wav
(13).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(13).txt,True,"Di depan terlihat jalan dengan trotoar rusak dan lubang. Ada pohon dan bangunan di latar belakang. Jalan tampak basah, mungkin dari hujan baru-baru ini. Tidak ada bahaya secara langsung untuk tunanetra, tetapi lubang dan permukaan tidak rata bisa menimbulkan risiko.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194620.wav
(14).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(14).txt,True,"Di depan terlihat lokasi konstruksi dengan tumpukan batu bata dan bahan bangunan di trotoar. Ada gerobak dekat sini. Area tampaknya berada di bawah konstruksi, dan trotoar sebagian tertutup dengan kotoran dan puing-puing. Ini bisa menimbulkan risiko bagi orang-tunanetra yang mungkin tersandung bahan yang longgar atau perjalanan di atas permukaan tidak rata.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194643.wav
(15).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(15).txt,True,"Di depan terlihat jalan basah dengan mobil putih dan sepeda motor mengemudi di atasnya. Ada pohon dan bangunan di latar belakang. Jalan tampak basah, mungkin dari hujan baru-baru ini. Ada tiang bergaris biru dan putih di sisi jalan. Situasi keseluruhan aman untuk tunanetra, karena tidak ada hambatan terlihat atau bahaya.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194707.wav
(16).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(16).txt,True,"Di depan terlihat bagian dari trotoar dengan simbol kursi roda terlihat area yang ditunjuk dapat diakses. Trotoarnya terbuat dari ubin yang gelap dan halus, dan ada beberapa tanaman hijau dan pagar kecil di sepanjang tepi. Area ini tampak basah, mungkin dari hujan baru-baru ini. Tidak ada bahaya secara langsung untuk tunanetra, karena simbol kursi roda jelas terlihat.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194730.wav
(17).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(17).txt,True,"Di depan terlihat pintu masuk bangunan modern dengan satu set tangga mengarah ke pintu. Ada pilar hitam di kedua sisi tangga, dan pintu masuk memiliki pintu kaca besar. Area ini bersih dan dijaga dengan baik, dengan tanaman pot dan biru menjulang di atas pintu masuk. Ada tanda peringatan kuning di lantai dekat tangga. tangga yang basah, mungkin dari hujan baru-baru ini. Tidak ada bahaya secara langsung bagi orang-tunanetra, karena pintu masuk terlihat dengan jelas dan tangga baik didefinisikan.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194756.wav
(18).jpg,ok,,F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\outputs-test\(18).txt,True,"Di depan ini terlihat area basah dan beraspal dengan dua kerucut oranye diletakkan di tanah. Ada pohon dan parkir mobil di latar belakang. Permukaan basah dan kehadiran kerucut terlihat bahwa area mungkin di bawah konstruksi atau sementara ditutup. tunanetra harus berhati-hati dari permukaan basah dan kerucut, karena mereka bisa menimbulkan bahaya tersandung.",F:\Coolyeah\Semester 7\Skripsi\source-code\main-pipeline\testing-pipeline\audios-test\output_20251207_194820.wav
